date,Open,Q,H,Close,Volume,Close_time,Qoute_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
1636783800000,63707.80000000,63714.26000000,63625.55000000,63647.18000000,0.31761700,1636784099999,20226.21723571,67,0.31507700,20064.47686788,0
1636784100000,63643.98000000,63673.26000000,63613.78000000,63631.98000000,0.57241500,1636784399999,36433.61334133,102,0.55995500,35640.36780194,0
1636784400000,63630.12000000,63689.59000000,63630.12000000,63656.28000000,0.45386600,1636784699999,28891.74576655,84,0.45283800,28826.30155611,0
1636784700000,63655.01000000,63749.95000000,63651.92000000,63749.03000000,0.63121800,1636784999999,40209.52702153,115,0.63069800,40176.40706193,0
1636785000000,63743.95000000,63810.17000000,63695.34000000,63695.34000000,0.66551300,1636785299999,42439.71781886,119,0.65893600,42020.32879739,0
1636785300000,63695.33000000,63740.12000000,63659.31000000,63734.16000000,0.43682000,1636785599999,27827.79536630,86,0.43420500,27661.21542420,0
1636785600000,63735.50000000,63741.92000000,63660.51000000,63715.28000000,0.36619300,1636785899999,23329.37115159,68,0.36411000,23196.69707528,0
1636785900000,63703.37000000,63768.05000000,63695.52000000,63765.06000000,0.58652100,1636786199999,37388.09226772,105,0.58599700,37354.71170184,0
1636786200000,63761.35000000,63813.99000000,63742.74000000,63788.01000000,0.45138600,1636786499999,28789.83089185,83,0.45031200,28721.33506071,0
1636786500000,63788.02000000,63862.59000000,63788.02000000,63844.17000000,0.58569800,1636786799999,37387.16748412,105,0.54032100,34490.89231800,0
1636786800000,63844.14000000,63876.29000000,63793.08000000,63815.73000000,0.73471200,1636787099999,46913.90657363,131,0.57245400,36549.94072889,0
1636787100000,63800.70000000,63880.14000000,63760.36000000,63867.00000000,0.44458100,1636787399999,28374.68495527,84,0.39410900,25155.74644960,0
1636787400000,63860.01000000,63895.66000000,63856.70000000,63890.30000000,0.54651000,1636787699999,34907.71612541,97,0.52249800,33373.84595477,0
1636787700000,63878.43000000,63891.37000000,63820.05000000,63824.74000000,0.52978200,1636787999999,33826.02351716,95,0.51930500,33157.17819993,0
1636788000000,63823.55000000,63829.34000000,63754.89000000,63803.44000000,0.45374300,1636788299999,28946.17647258,76,0.31303500,19967.33468241,0
1636788300000,63803.60000000,63856.21000000,63800.41000000,63816.05000000,0.42206100,1636788599999,26940.94832663,76,0.42048600,26840.42383577,0
1636788600000,63820.24000000,63828.26000000,63728.41000000,63731.88000000,0.81791500,1636788899999,52182.78905267,145,0.55593600,35461.33234793,0
1636788900000,63721.47000000,63769.12000000,63704.43000000,63753.99000000,0.45409900,1636789199999,28943.94833923,96,0.35255100,22469.44466730,0
1636789200000,63759.96000000,63828.84000000,62559.53000000,63800.02000000,1.19330300,1636789499999,76002.69269469,210,0.38703700,24688.38744855,0
1636789500000,63797.95000000,64941.37000000,63797.95000000,63918.84000000,2.29684700,1636789799999,147270.46427293,390,2.00617400,128706.05156741,0
1636789800000,63918.86000000,64941.37000000,60918.26000000,63917.17000000,4.18563800,1636790099999,265326.93624117,599,1.77724900,114012.73258260,0
1636790100000,63917.17000000,64089.40000000,63913.99000000,64022.84000000,1.67741600,1636790399999,107357.96677383,319,1.24030000,79396.20055374,0
1636790400000,64022.86000000,64947.41000000,63963.65000000,64004.58000000,1.80438400,1636790699999,116304.87358457,194,1.73007800,111544.88800012,0
1636790700000,63995.04000000,63995.04000000,60000.00000000,63904.57000000,0.98569600,1636790999999,62556.88591608,158,0.44544900,28479.75393391,0
1636791000000,63905.89000000,64958.22000000,57613.46000000,64003.46000000,4.66315900,1636791299999,292283.10715448,493,2.07627300,133535.01593433,0
1636791300000,64004.95000000,64961.23000000,63985.36000000,63986.66000000,1.97294100,1636791599999,126791.58625687,276,1.64093000,105538.70558984,0
1636791600000,63985.35000000,63990.88000000,63967.00000000,63983.02000000,0.59845800,1636791899999,38286.00851156,94,0.51848800,33169.87961870,0
1636791900000,63983.04000000,63986.34000000,63889.43000000,63938.51000000,0.96694400,1636792199999,61829.51252225,140,0.75046700,47990.54783088,0
1636792200000,63940.00000000,63963.29000000,63933.15000000,63956.83000000,0.63550800,1636792499999,40638.38199552,102,0.60087900,38423.82773225,0
1636792500000,63956.83000000,63956.84000000,63773.47000000,63773.47000000,0.72870100,1636792799999,46534.78992155,131,0.55846600,35660.54849417,0
1636792800000,63776.37000000,63857.46000000,63738.19000000,63770.18000000,0.48965500,1636793099999,31244.88855135,99,0.47496900,30307.74225694,0
1636793100000,63769.62000000,63906.40000000,63769.62000000,63889.14000000,0.78502200,1636793399999,50121.15222742,154,0.78245700,49957.38124689,0
1636793400000,63889.57000000,63957.26000000,63889.57000000,63900.02000000,0.62470800,1636793699999,39930.62690163,106,0.47532400,30382.11316565,0
1636793700000,63900.02000000,63906.10000000,63785.56000000,63807.28000000,1.15516400,1636793999999,73741.79175950,189,0.60951300,38903.49799652,0
1636794000000,63804.10000000,63863.62000000,63801.82000000,63814.74000000,1.95670200,1636794299999,124917.69881678,322,1.71041300,109195.82783044,0
1636794300000,63818.62000000,63871.04000000,30000.00000000,63802.91000000,1.79273700,1636794599999,113025.22719387,245,1.08971200,69572.57537942,0
1636794600000,63797.16000000,63815.00000000,60736.30000000,63683.30000000,1.39602000,1636794899999,88927.80012896,218,0.85338200,54406.65543851,0
1636794900000,63683.30000000,63727.49000000,63655.41000000,63711.36000000,0.99442600,1636795199999,63338.59447211,184,0.90382100,57567.75679424,0
1636795200000,63719.00000000,63738.70000000,63620.50000000,63670.22000000,0.72131000,1636795499999,45925.02048521,130,0.64732700,41215.11033414,0
1636795500000,63661.26000000,63687.66000000,63651.95000000,63685.62000000,0.38940800,1636795799999,24795.43418816,75,0.38107400,24264.75074882,0
1636795800000,63680.25000000,63795.55000000,63574.48000000,63578.01000000,1.38195800,1636796099999,88003.24663629,192,1.32988000,84687.22902620,0
1636796100000,63575.52000000,63665.90000000,63535.16000000,63624.76000000,1.32817100,1636796399999,84465.16022397,241,1.10118600,70031.12073553,0
1636796400000,63637.99000000,63649.91000000,63567.59000000,63603.47000000,1.01901400,1636796699999,64812.23468505,177,0.93729100,59613.63760040,0
1636796700000,63594.49000000,63594.49000000,63510.01000000,63510.01000000,0.75876700,1636796999999,48221.59918239,132,0.71387800,45367.71206966,0
1636797000000,63501.80000000,63501.80000000,63364.58000000,63445.03000000,1.75321200,1636797299999,111229.40242317,295,1.09226600,69274.74434133,0
1636797300000,63432.23000000,63502.31000000,63415.59000000,63462.10000000,1.07980500,1636797599999,68527.13832945,203,0.97702200,62003.60931578,0
1636797600000,63446.81000000,63529.22000000,63374.18000000,63496.08000000,1.01595000,1636797899999,64456.26503345,202,0.99919000,63393.01960014,0
1636797900000,63500.00000000,63585.42000000,63466.74000000,63566.55000000,1.21337900,1636798199999,77090.85253809,201,0.93995000,59714.76798577,0
1636798200000,63566.53000000,63571.97000000,63507.02000000,63531.70000000,1.26431700,1636798499999,80326.71053430,227,0.67922800,43150.99004481,0
1636798500000,63535.27000000,63855.19000000,63535.27000000,63591.56000000,2.81750800,1636798799999,179349.98584890,353,1.89384700,120632.67247000,0
1636798800000,63587.04000000,63855.19000000,63481.70000000,63539.11000000,1.56177000,1636799099999,99271.98556243,233,1.01040600,64241.81808447,0
1636799100000,63529.11000000,63855.19000000,63430.01000000,63447.31000000,1.13679300,1636799399999,72328.71425455,133,1.10383700,70235.62563994,0
1636799400000,63448.30000000,64961.23000000,62580.18000000,63554.99000000,7.11859100,1636799699999,452102.57449324,564,3.66572100,233599.24675033,0
1636799700000,63552.91000000,66000.00000000,58933.68000000,63573.72000000,9.65190300,1636799999999,609928.43656455,652,5.71876300,365190.27181937,0
1636800000000,63575.72000000,63646.42000000,60433.64000000,63644.04000000,2.76526900,1636800299999,173996.73640637,268,1.81194300,115211.10759693,0
1636800300000,63646.38000000,64365.70000000,62800.00000000,63612.31000000,2.36250200,1636800599999,150480.99593093,239,1.36529100,87136.73153822,0
1636800600000,63611.87000000,63632.21000000,63599.50000000,63622.71000000,0.42433700,1636800899999,26996.67407115,72,0.41086400,26139.52085593,0
1636800900000,63608.91000000,63735.86000000,63608.91000000,63704.24000000,0.78969500,1636801199999,50291.02153839,149,0.78432100,49948.83706561,0
1636801200000,63707.03000000,63739.47000000,63662.23000000,63696.02000000,0.66980800,1636801499999,42674.64783783,117,0.57560600,36672.97069094,0
1636801500000,63697.26000000,64026.45000000,63630.49000000,63654.81000000,0.67082000,1636801799999,42756.71738978,100,0.65064300,41471.61110177,0
1636801800000,63650.82000000,63789.72000000,63644.59000000,63789.72000000,0.87674800,1636802099999,55858.82534784,176,0.87067700,55472.03133070,0
1636802100000,63768.81000000,63798.47000000,63670.11000000,63695.85000000,0.76389700,1636802399999,48692.95277395,144,0.67116200,42778.65783246,0
1636802400000,63690.57000000,63740.13000000,63671.09000000,63678.23000000,0.59853700,1636802699999,38135.83732950,104,0.44962400,28646.27374334,0
1636802700000,63679.06000000,64026.45000000,63606.92000000,63638.72000000,1.34010100,1636802999999,85424.60246899,183,1.23239000,78569.43947786,0
1636803000000,63636.30000000,63650.84000000,63620.01000000,63647.80000000,0.35109100,1636803299999,22343.24747122,63,0.31058300,19765.28330011,0
1636803300000,63648.44000000,63722.00000000,63519.50000000,63537.54000000,2.48577100,1636803599999,158224.10935775,347,0.60715500,38607.78305393,0
1636803600000,63538.23000000,63576.67000000,62669.00000000,63567.79000000,2.81247100,1636803899999,178357.62089309,326,2.27790400,144673.28328705,0
1636803900000,63567.80000000,63612.84000000,63548.48000000,63588.65000000,2.95272500,1636804199999,187781.50514708,389,0.89132000,56677.88311858,0
1636804200000,63588.67000000,63606.89000000,63506.37000000,63506.37000000,0.68481400,1636804499999,43522.08597399,234,0.37800300,24024.40746623,0
1636804500000,63509.91000000,63601.98000000,63508.84000000,63552.51000000,0.51473800,1636804799999,32714.28068944,117,0.50065100,31818.79241943,0
1636804800000,63552.51000000,63600.99000000,63277.99000000,63600.99000000,1.79044800,1636805099999,113727.67981249,246,0.63495200,40361.93925609,0
