Open_time,Open,High,Close,Volume,Close_time,Qoute_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
1633654800000,54113.42000000,54394.94000000,54051.58000000,54297.41000000,11.53301200,1633658399999,625342.94197076,2553,11.00663800,596807.09883477,0
1633658400000,54297.35000000,54418.01000000,53727.05000000,53842.01000000,14.92813100,1633661999999,806427.15139687,3723,13.75872000,743341.90517459,0
1633662000000,53842.01000000,54847.54000000,51217.36000000,53820.36000000,15.21958400,1633665599999,816718.81470759,2867,12.81457500,689537.86360268,0
1633665600000,53796.98000000,53967.32000000,53772.59000000,53877.77000000,11.40232200,1633669199999,614274.91522053,2484,10.06907600,542459.87857866,0
1633669200000,53877.93000000,54172.97000000,53567.10000000,54172.94000000,13.91451800,1633672799999,749705.04538387,3520,11.72551200,631549.69051654,0
1633672800000,54172.94000000,54260.00000000,54000.00000000,54112.35000000,13.67714300,1633676399999,740233.58438504,3864,11.76748900,636860.34840744,0
1633676400000,54108.72000000,200000.00000000,42599.03000000,54831.10000000,21.22092000,1633679999999,1138725.63189979,3894,16.87378900,918695.85864657,0
1633680000000,54829.39000000,56078.87000000,42599.03000000,55800.01000000,24.33398900,1633683599999,1330770.09402461,4746,22.29886600,1220987.08193502,0
1633683600000,55800.01000000,55900.00000000,54891.07000000,55234.97000000,17.87844800,1633687199999,992172.02675674,3844,16.95054400,940735.83798779,0
1633687200000,55235.98000000,55570.01000000,55182.17000000,55476.12000000,15.05040200,1633690799999,833536.34406534,3192,13.82788200,765765.84488279,0
1633690800000,55485.67000000,55900.00000000,51217.36000000,55240.11000000,15.74534600,1633694399999,870074.86641395,3066,13.54477800,750322.50546661,0
1633694400000,55233.76000000,55296.97000000,54071.66000000,54845.73000000,19.48651900,1633697999999,1070566.21035398,3519,17.85928500,981233.30385198,0
1633698000000,54841.01000000,55900.00000000,42599.03000000,54179.00000000,24.46629600,1633701599999,1307428.55151659,3662,20.92684000,1124131.63914713,0
1633701600000,54179.00000000,55900.00000000,53415.89000000,54584.01000000,18.04991200,1633705199999,982401.02121169,4035,15.02791200,818231.00097104,0
1633705200000,54569.84000000,55900.00000000,51217.36000000,54319.81000000,20.41028500,1633708799999,1108614.50853212,3387,16.26507400,885498.88057824,0
1633708800000,54319.81000000,95000.00000000,51217.36000000,54294.96000000,19.70839600,1633712399999,1072962.45607880,3149,15.36250100,840067.47183835,0
1633712400000,54291.70000000,54890.57000000,53415.89000000,54293.87000000,15.88436700,1633715999999,860962.07945105,2597,12.50068200,678354.02152163,0
1633716000000,54292.02000000,55098.17000000,53415.89000000,54503.94000000,13.67205700,1633719599999,744974.06095147,2916,11.60914600,632582.31465564,0
1633719600000,54490.59000000,59000.00000000,53415.89000000,54684.26000000,14.39732600,1633723199999,785133.34314423,3125,12.01431600,655465.43260941,0
1633723200000,54681.47000000,55230.72000000,53415.89000000,53990.23000000,14.24077600,1633726799999,773971.30971673,2626,12.78902300,695108.82315271,0
1633726800000,54000.00000000,59593.37000000,51217.36000000,54162.20000000,19.88134300,1633730399999,1072716.46363680,3053,14.25598000,772206.57611948,0
1633730400000,54162.20000000,60000.00000000,42599.03000000,54071.85000000,22.25634900,1633733999999,1178942.09240980,3137,18.11200500,959418.34441794,0
1633734000000,54050.31000000,80000.00000000,53415.89000000,53943.25000000,16.45550000,1633737599999,887827.37858544,2800,13.13616900,708862.92662041,0
1633737600000,53946.54000000,54420.54000000,53415.89000000,54260.01000000,14.97893000,1633741199999,810071.90789935,2948,13.58045600,734376.09544997,0
